"team","season","week","carries","rush_yards","rush_td","rush_fumble","qb_scramble","rush_20plus","rush_40plus","rush_longest","rush_stacked_box","yard_per_car","passing_yards","pass_td","ints","yac","sacks","completions","pass_20plus","pass_40plus","pass_longest","pass_against_blitz","pass_attempts","completion_pct","yds_per_att"
"ARI",2023,1,28,92,1,1,2,0,0,7,4,3.3,202,1,1,68,6,19,1,0,32,3,31,0.613,6.5
"ARI",2023,10,41,184,2,0,3,0,0,17,5,4.5,94,1,0,49,3,12,0,0,18,7,21,0.571,4.5
"ARI",2023,11,25,111,1,0,0,1,0,21,0,4.4,338,2,3,89,4,28,6,1,40,13,38,0.737,8.9
"ARI",2023,12,33,228,1,0,1,3,1,56,5,6.9,229,4,1,129,0,25,3,1,42,5,33,0.758,6.9
"ARI",2023,13,31,130,0,2,3,0,0,18,2,4.2,187,1,0,43,0,18,3,0,38,8,27,0.667,6.9
"ARI",2023,15,26,144,1,0,0,1,0,26,5,5.5,262,4,0,111,0,18,4,1,41,4,28,0.643,9.4
"ARI",2023,16,39,250,2,0,5,2,0,39,0,6.4,170,1,1,35,1,15,3,1,53,0,27,0.556,6.3
"ARI",2023,17,23,91,0,0,1,0,0,16,0,4,184,3,1,73,0,19,2,0,23,0,24,0.792,7.7
"ARI",2023,18,25,138,0,0,2,1,0,21,0,5.5,189,2,0,89,0,16,3,0,37,0,28,0.571,6.8
"ARI",2023,2,27,127,2,0,5,0,0,16,7,4.7,321,2,1,103,3,26,4,1,58,5,37,0.703,8.7
"ARI",2023,3,33,185,0,0,3,1,0,31,1,5.6,249,1,1,144,2,25,3,0,32,10,40,0.625,6.2
"ARI",2023,4,31,124,4,0,0,0,0,18,7,4,283,1,0,104,1,20,4,1,42,3,21,0.952,13.5
"ARI",2023,5,30,93,0,0,2,0,0,10,7,3.1,317,3,1,155,3,36,1,1,63,12,46,0.783,6.9
"ARI",2023,6,28,179,1,0,1,2,0,31,1,6.4,226,1,0,84,3,15,4,1,49,5,24,0.625,9.4
"ARI",2023,7,32,115,0,1,2,1,0,25,11,3.6,219,2,1,43,2,18,4,0,31,5,24,0.75,9.1
"ARI",2023,8,29,130,3,0,1,0,0,18,9,4.5,157,1,0,85,4,18,2,0,29,8,27,0.667,5.8
"ARI",2023,9,40,113,1,0,3,0,0,13,9,2.8,219,2,0,120,1,19,2,2,59,6,30,0.633,7.3
"ATL",2023,1,32,154,0,2,2,1,0,21,2,4.8,146,1,2,92,2,20,0,0,14,8,38,0.526,3.8
"ATL",2023,10,26,122,2,0,2,0,0,13,6,4.7,249,0,1,114,2,19,3,0,33,15,32,0.594,7.8
"ATL",2023,12,28,148,0,2,1,1,0,29,0,5.3,304,0,1,135,1,24,5,1,51,14,38,0.632,8
"ATL",2023,13,25,62,0,1,1,0,0,14,2,2.5,214,0,1,81,4,19,3,0,36,7,38,0.5,5.6
"ATL",2023,14,37,148,1,2,1,0,0,15,1,4,144,2,0,101,1,14,2,0,32,3,29,0.483,5
"ATL",2023,15,36,129,0,0,1,2,0,22,6,3.6,167,0,0,57,3,18,1,0,20,5,24,0.75,7
"ATL",2023,16,25,92,1,0,3,1,0,23,0,3.7,201,0,1,73,6,20,0,0,18,0,37,0.541,5.4
"ATL",2023,17,37,192,3,0,3,2,0,38,0,5.2,268,1,0,132,3,20,7,0,32,0,32,0.625,8.4
"ATL",2023,18,35,154,2,1,0,1,0,27,0,4.4,264,4,0,79,3,22,5,0,39,0,28,0.786,9.4
"ATL",2023,2,21,84,0,0,1,1,0,24,4,4,151,3,0,74,1,14,1,0,32,14,25,0.56,6
"ATL",2023,3,31,115,1,0,1,1,0,21,2,3.7,243,1,1,66,0,22,3,1,45,7,33,0.667,7.4
"ATL",2023,4,32,105,0,0,4,1,0,22,9,3.3,207,1,0,85,2,23,2,0,30,8,30,0.767,6.9
"ATL",2023,5,23,64,0,0,0,0,0,15,2,2.8,249,1,0,83,0,20,4,0,29,7,35,0.571,7.1
"ATL",2023,6,22,72,0,0,1,0,0,13,3,3.3,151,3,0,77,5,14,2,0,24,6,23,0.609,6.6
"ATL",2023,7,20,73,0,0,1,1,0,31,5,3.6,275,1,1,154,3,27,4,1,40,10,42,0.643,6.5
"ATL",2023,8,36,149,0,1,1,1,0,23,13,4.1,238,4,0,108,2,19,3,2,61,11,29,0.655,8.2
"ATL",2023,9,33,146,1,1,7,1,0,22,4,4.4,236,2,0,119,4,25,4,1,47,10,36,0.694,6.6
"BAL",2023,1,23,72,0,0,4,0,0,11,7,3.1,242,0,0,133,5,28,1,0,26,14,44,0.636,5.5
"BAL",2023,10,36,178,1,0,7,1,0,28,8,4.9,213,1,1,112,4,20,3,0,28,6,35,0.571,6.1
"BAL",2023,11,23,136,0,0,5,0,0,19,1,5.9,169,2,0,89,5,19,1,0,21,7,31,0.613,5.5
"BAL",2023,12,19,86,0,0,4,1,0,35,3,4.5,217,1,1,103,3,29,2,0,31,13,44,0.659,4.9
"BAL",2023,14,30,128,0,0,0,0,0,14,7,4.3,294,3,0,143,2,23,7,0,34,10,41,0.561,7.2
"BAL",2023,15,17,75,0,1,4,0,0,13,2,4.4,264,1,0,95,1,25,3,1,65,10,43,0.581,6.1
"BAL",2023,16,18,121,1,0,1,1,0,39,4,6.7,336,1,5,169,4,26,6,1,58,11,46,0.565,7.3
"BAL",2023,17,25,154,0,1,2,1,1,45,0,6.2,237,2,2,115,3,22,3,0,25,0,38,0.579,6.2
"BAL",2023,18,39,155,1,2,0,1,0,23,0,4,152,1,0,127,3,18,1,1,71,0,20,0.9,7.6
"BAL",2023,2,15,66,0,0,1,0,0,14,1,4.4,222,2,1,142,1,27,2,0,32,5,41,0.659,5.4
"BAL",2023,3,35,139,0,0,0,2,0,24,9,4,227,1,0,94,5,27,2,0,34,26,44,0.614,5.2
"BAL",2023,4,25,93,0,0,3,1,1,40,3,3.7,121,0,3,45,4,19,0,0,16,6,36,0.528,3.4
"BAL",2023,5,30,87,0,0,1,0,0,16,12,2.9,224,1,0,66,3,18,5,1,41,6,32,0.562,7
"BAL",2023,6,19,129,1,0,3,1,1,63,7,6.8,150,0,1,104,6,12,2,1,48,6,21,0.571,7.1
"BAL",2023,7,14,84,1,0,0,1,0,21,1,6,284,0,1,141,5,33,3,0,22,13,53,0.623,5.4
"BAL",2023,8,32,129,1,0,2,0,0,14,11,4,208,2,2,74,2,25,3,0,29,6,37,0.676,5.6
"BAL",2023,9,15,28,0,0,1,0,0,6,2,1.9,157,0,1,57,4,13,2,1,50,9,28,0.464,5.6
